AP,time,hb_Boolean,kr_Boolean,gt_Boolean,kni_Boolean
66,3,0,0,0,1
67,3,0,0,0,1
68,3,0,0,0,1
69,3,0,0,0,1
70,3,0,0,1,1
71,3,0,0,1,1
72,3,0,0,1,1
73,3,0,0,1,1
74,3,0,0,1,0
75,3,0,0,1,0
76,3,0,0,1,0
77,3,0,0,1,0
78,3,0,0,1,0
79,3,0,0,1,0
80,3,0,0,1,0
81,3,0,0,1,0
82,3,0,0,1,0
83,3,0,0,1,0
84,3,0,0,1,0
85,3,0,0,1,0
86,3,0,0,0,0
87,3,0,0,0,0
88,3,0,0,0,0
89,3,0,0,0,0
90,3,0,0,0,0
91,3,0,0,0,0
92,3,0,0,0,0
93,3,0,0,0,0
94,3,0,0,0,0
95,3,0,0,0,0
96,3,0,0,0,0
97,3,0,0,0,0
98,3,0,0,0,0
4,4,1,0,0,1
5,4,1,0,0,1
6,4,1,0,0,1
7,4,1,0,0,1
8,4,1,0,0,1
9,4,1,0,0,1
10,4,1,0,0,1
11,4,1,0,0,1
12,4,1,0,0,1
13,4,1,0,0,1
14,4,1,0,0,1
15,4,1,0,0,0
16,4,1,0,0,0
17,4,1,0,0,1
18,4,1,0,0,1
19,4,1,0,1,0
20,4,1,0,1,0
21,4,1,0,1,0
22,4,1,0,1,0
23,4,1,0,1,0
24,4,1,0,1,0
25,4,1,0,1,0
26,4,1,0,1,0
27,4,1,0,1,0
28,4,1,0,1,0
29,4,1,0,1,0
30,4,1,0,1,0
31,4,1,0,1,0
32,4,1,0,1,0
33,4,1,0,1,0
34,4,1,0,1,0
35,4,1,0,1,0
36,4,1,0,1,0
37,4,1,0,1,0
38,4,1,0,1,0
39,4,1,0,1,0
40,4,1,1,1,0
41,4,1,1,1,0
42,4,1,1,1,0
43,4,1,1,0,0
44,4,1,1,0,0
45,4,1,1,0,0
46,4,1,1,0,0
47,4,1,1,0,0
48,4,1,1,0,0
49,4,1,1,0,0
50,4,0,1,0,0
51,4,0,1,0,0
52,4,0,1,0,0
53,4,0,1,0,0
54,4,0,1,0,0
55,4,0,1,0,0
56,4,0,1,0,0
57,4,0,1,0,1
58,4,0,1,0,1
59,4,0,1,0,1
60,4,0,1,0,1
61,4,0,1,0,1
62,4,0,1,0,1
63,4,0,1,0,1
64,4,0,1,0,1
65,4,0,1,0,1
66,4,0,0,0,1
67,4,0,0,0,1
68,4,0,0,0,1
69,4,0,0,1,1
70,4,0,0,1,1
71,4,0,0,1,1
72,4,0,0,1,1
73,4,0,0,1,1
74,4,0,0,1,1
75,4,0,0,1,1
76,4,0,0,1,0
77,4,0,0,1,0
78,4,0,0,1,0
79,4,0,0,1,0
80,4,0,0,1,0
81,4,0,0,1,0
82,4,0,0,1,0
83,4,0,0,1,0
84,4,0,0,1,0
85,4,0,0,0,0
86,4,0,0,0,0
87,4,0,0,0,0
88,4,0,0,0,0
89,4,0,0,0,0
90,4,0,0,0,0
91,4,0,0,0,0
92,4,0,0,0,0
93,4,0,0,0,0
94,4,0,0,0,0
95,4,0,0,0,0
96,4,0,0,0,0
97,4,0,0,0,0
98,4,0,0,0,0
4,5,0,0,0,1
5,5,0,0,0,1
6,5,0,0,0,1
7,5,0,0,0,1
8,5,1,0,0,1
9,5,1,0,0,1
10,5,1,0,0,1
11,5,1,0,0,1
12,5,1,0,0,1
13,5,1,0,0,0
14,5,1,0,0,0
15,5,1,0,0,0
16,5,1,0,0,0
17,5,1,0,0,0
18,5,1,0,0,0
19,5,1,0,1,0
20,5,1,0,1,0
21,5,1,0,1,0
22,5,1,0,1,0
23,5,1,0,1,0
24,5,1,0,1,0
25,5,1,0,1,0
26,5,1,0,1,0
27,5,1,0,1,0
28,5,1,0,1,0
29,5,1,0,1,0
30,5,1,0,1,0
31,5,1,0,1,0
32,5,1,0,1,0
33,5,1,0,1,0
34,5,1,0,1,0
35,5,1,0,1,0
36,5,1,0,1,0
37,5,1,0,1,0
38,5,1,0,1,0
39,5,1,0,1,0
40,5,1,0,1,0
41,5,1,0,1,0
42,5,1,1,0,0
43,5,1,1,0,0
44,5,1,1,0,0
45,5,1,1,0,0
46,5,1,1,0,0
47,5,1,1,0,0
48,5,0,1,0,0
49,5,0,1,0,0
50,5,0,1,0,0
51,5,0,1,0,0
52,5,0,1,0,0
53,5,0,1,0,0
54,5,0,1,0,0
55,5,0,1,0,0
56,5,0,1,0,1
57,5,0,1,0,1
58,5,0,1,0,1
59,5,0,1,0,1
60,5,0,1,0,1
61,5,0,1,0,1
62,5,0,1,0,1
63,5,0,1,0,1
64,5,0,1,0,1
65,5,0,0,0,1
66,5,0,0,0,1
67,5,0,0,1,1
68,5,0,0,1,1
69,5,0,0,1,1
70,5,0,0,1,1
71,5,0,0,1,1
72,5,0,0,1,1
73,5,0,0,1,0
74,5,0,0,1,0
75,5,0,0,1,0
76,5,0,0,1,0
77,5,0,0,1,0
78,5,0,0,1,0
79,5,0,0,1,0
80,5,0,0,1,0
81,5,0,0,0,0
82,5,0,0,0,0
83,5,1,0,0,0
84,5,1,0,0,0
85,5,1,0,0,0
86,5,1,0,0,0
87,5,1,0,0,0
88,5,0,0,0,0
89,5,0,0,0,0
90,5,0,0,0,0
91,5,0,0,0,0
92,5,0,0,0,0
93,5,0,0,0,0
94,5,0,0,0,0
95,5,0,0,0,0
96,5,0,0,0,0
97,5,0,0,0,0
98,5,0,0,0,0
4,6,0,0,0,1
5,6,0,0,0,1
6,6,1,0,0,1
7,6,1,0,0,1
8,6,1,0,0,1
9,6,1,0,0,1
10,6,1,0,0,1
11,6,1,0,0,1
12,6,1,0,0,1
13,6,1,0,0,0
14,6,1,0,0,0
15,6,1,0,0,0
16,6,1,0,0,0
17,6,1,0,0,0
18,6,1,0,1,1
19,6,1,0,1,1
20,6,1,0,1,1
21,6,1,0,1,0
22,6,1,0,1,0
23,6,1,0,1,0
24,6,1,0,1,0
25,6,1,0,1,0
26,6,1,0,1,0
27,6,1,0,1,0
28,6,1,0,1,0
29,6,1,0,1,0
30,6,1,0,1,0
31,6,1,0,1,0
32,6,1,0,1,0
33,6,1,0,1,0
34,6,1,0,1,0
35,6,1,0,1,0
36,6,1,0,1,0
37,6,1,0,1,0
38,6,1,0,1,0
39,6,1,0,1,0
40,6,1,1,0,0
41,6,1,1,0,0
42,6,1,1,0,0
43,6,1,1,0,0
44,6,1,1,0,0
45,6,1,1,0,0
46,6,1,1,0,0
47,6,0,1,0,0
48,6,0,1,0,0
49,6,0,1,0,0
50,6,0,1,0,0
51,6,0,1,0,0
52,6,0,1,0,0
53,6,0,1,0,0
54,6,0,1,0,0
55,6,0,1,0,0
56,6,0,1,0,1
57,6,0,1,0,1
58,6,0,1,0,1
59,6,0,1,0,1
60,6,0,1,0,1
61,6,0,1,0,1
62,6,0,1,0,1
63,6,0,0,0,1
64,6,0,0,0,1
65,6,0,0,0,1
66,6,0,0,0,1
67,6,0,0,0,1
68,6,0,0,1,1
69,6,0,0,1,1
70,6,0,0,1,1
71,6,0,0,1,1
72,6,0,0,1,1
73,6,0,0,1,1
74,6,0,0,1,1
75,6,0,0,1,1
76,6,0,0,1,0
77,6,0,0,1,0
78,6,0,0,1,0
79,6,0,0,1,0
80,6,0,0,1,0
81,6,0,0,1,0
82,6,0,0,1,0
83,6,1,0,0,0
84,6,1,0,0,0
85,6,1,0,0,0
86,6,1,0,0,0
87,6,1,0,0,0
88,6,0,0,0,0
89,6,0,0,0,0
90,6,0,0,0,0
91,6,0,0,0,0
92,6,0,0,0,0
93,6,0,0,0,0
94,6,0,0,0,0
95,6,0,0,0,0
96,6,0,0,0,0
97,6,0,0,0,0
98,6,0,0,0,0
4,7,0,0,0,1
5,7,0,0,0,1
6,7,0,0,0,1
7,7,0,0,0,1
8,7,1,0,0,1
9,7,1,0,0,1
10,7,1,0,0,1
11,7,1,0,0,1
12,7,1,0,0,1
13,7,1,0,0,1
14,7,1,0,0,1
15,7,1,0,0,0
16,7,1,0,0,0
17,7,1,0,0,1
18,7,1,0,0,1
19,7,1,0,1,1
20,7,1,0,1,1
21,7,1,0,1,1
22,7,1,0,1,0
23,7,1,0,1,0
24,7,1,0,1,0
25,7,1,0,1,1
26,7,1,0,1,0
27,7,1,0,1,0
28,7,1,0,1,0
29,7,1,0,1,0
30,7,1,0,1,0
31,7,1,0,1,0
32,7,1,0,1,0
33,7,1,0,1,0
34,7,1,0,1,0
35,7,1,0,1,0
36,7,1,0,1,0
37,7,1,0,1,0
38,7,1,0,1,0
39,7,1,0,1,0
40,7,1,1,0,0
41,7,1,1,0,0
42,7,1,1,0,0
43,7,1,1,0,0
44,7,1,1,0,0
45,7,1,1,0,0
46,7,1,1,0,0
47,7,0,1,0,0
48,7,0,1,0,0
49,7,0,1,0,0
50,7,0,1,0,0
51,7,0,1,0,0
52,7,0,1,0,0
53,7,0,1,0,0
54,7,0,1,0,0
55,7,0,1,0,0
56,7,0,1,0,1
57,7,0,1,0,1
58,7,0,1,0,1
59,7,0,1,0,1
60,7,0,1,0,1
61,7,0,1,0,1
62,7,0,0,0,1
63,7,0,0,0,1
64,7,0,0,0,1
65,7,0,0,0,1
66,7,0,0,0,1
67,7,0,0,1,1
68,7,0,0,1,1
69,7,0,0,1,1
70,7,0,0,1,1
71,7,0,0,1,1
72,7,0,0,1,1
73,7,0,0,1,0
74,7,0,0,1,0
75,7,0,0,1,0
76,7,0,0,1,0
77,7,0,0,1,0
78,7,0,0,1,0
79,7,0,0,1,0
80,7,0,0,0,0
81,7,0,0,0,0
82,7,1,0,0,0
83,7,1,0,0,0
84,7,1,0,0,0
85,7,1,0,0,0
86,7,1,0,0,0
87,7,0,0,0,0
88,7,0,0,0,0
89,7,0,0,0,0
90,7,0,0,0,0
91,7,0,0,0,0
92,7,0,0,0,0
93,7,0,0,0,0
94,7,0,0,0,0
95,7,0,0,0,0
96,7,0,0,0,0
97,7,0,0,0,0
98,7,0,0,0,0
4,8,0,0,0,1
5,8,0,0,0,1
6,8,1,0,0,1
7,8,1,0,0,1
8,8,1,0,0,1
9,8,1,0,0,1
10,8,1,0,0,1
11,8,1,0,0,1
12,8,1,0,0,1
13,8,1,0,0,1
14,8,1,0,0,1
15,8,1,0,0,1
16,8,1,0,0,1
17,8,1,0,0,1
18,8,1,0,0,1
19,8,1,0,0,1
20,8,1,0,0,1
21,8,1,0,1,1
22,8,1,0,1,1
23,8,1,0,1,1
24,8,1,0,1,1
25,8,1,0,1,1
26,8,1,0,1,1
27,8,1,0,1,1
28,8,1,0,1,1
29,8,1,0,1,1
30,8,1,0,1,0
31,8,1,0,1,1
32,8,1,0,1,1
33,8,1,0,1,0
34,8,1,0,1,0
35,8,1,0,1,0
36,8,1,0,1,0
37,8,1,0,1,0
38,8,1,0,1,0
39,8,1,0,1,0
40,8,1,0,1,0
41,8,1,1,1,0
42,8,1,1,0,0
43,8,1,1,0,0
44,8,1,1,0,0
45,8,1,1,0,0
46,8,1,1,0,0
47,8,1,1,0,0
48,8,1,1,0,0
49,8,0,1,0,0
50,8,0,1,0,0
51,8,0,1,0,0
52,8,0,1,0,0
53,8,0,1,0,0
54,8,0,1,0,0
55,8,0,1,0,0
56,8,0,1,0,1
57,8,0,1,0,1
58,8,0,1,0,1
59,8,0,1,0,1
60,8,0,1,0,1
61,8,0,1,0,1
62,8,0,1,0,1
63,8,0,1,0,1
64,8,0,0,0,1
65,8,0,0,0,1
66,8,0,0,0,1
67,8,0,0,0,1
68,8,0,0,0,1
69,8,0,0,1,1
70,8,0,0,1,1
71,8,0,0,1,1
72,8,0,0,1,1
73,8,0,0,1,1
74,8,0,0,1,0
75,8,0,0,1,0
76,8,0,0,1,0
77,8,0,0,1,0
78,8,0,0,1,0
79,8,0,0,1,0
80,8,0,0,0,0
81,8,0,0,0,0
82,8,0,0,0,0
83,8,0,0,0,0
84,8,1,0,0,0
85,8,1,0,0,0
86,8,1,0,0,0
87,8,1,0,0,0
88,8,1,0,0,0
89,8,0,0,0,0
90,8,0,0,0,0
91,8,0,0,0,0
92,8,0,0,0,0
93,8,0,0,0,0
94,8,0,0,0,0
95,8,0,0,0,0
96,8,0,0,0,0
97,8,0,0,0,0
98,8,0,0,0,0
